rep,id,p1,p2,alpha1,alpha2
6,40,2.69527,1,0.5,-0.3
7,40,2.69634,1,0.5,-0.3
8,40,2.69614,1,0.5,-0.3
9,40,2.69456,1,0.5,-0.3
10,40,2.6992,1,0.5,-0.3
1,41,3.83224,1,0.5,-0.3
2,41,3.83075,1,0.5,-0.3
3,41,3.83202,1,0.5,-0.3
4,41,3.83151,1,0.5,-0.3
5,41,3.83142,1,0.5,-0.3
6,41,3.82956,1,0.5,-0.3
7,41,3.82775,1,0.5,-0.3
8,41,3.83242,1,0.5,-0.3
9,41,3.82868,1,0.5,-0.3
10,41,3.83016,1,0.5,-0.3
1,42,3.029,1,0.5,-0.3
2,42,3.02794,1,0.5,-0.3
3,42,3.02963,1,0.5,-0.3
4,42,3.02856,1,0.5,-0.3
5,42,3.02691,1,0.5,-0.3
6,42,3.02994,1,0.5,-0.3
7,42,3.02716,1,0.5,-0.3
8,42,3.02538,1,0.5,-0.3
9,42,3.03059,1,0.5,-0.3
10,42,3.02739,1,0.5,-0.3
1,43,2.7453,1,0.5,-0.3
2,43,2.74306,1,0.5,-0.3
3,43,2.74101,1,0.5,-0.3
4,43,2.74626,1,0.5,-0.3
5,43,2.74477,1,0.5,-0.3
6,43,2.74215,1,0.5,-0.3
7,43,2.74197,1,0.5,-0.3
8,43,2.74197,1,0.5,-0.3
9,43,2.74452,1,0.5,-0.3
10,43,2.74131,1,0.5,-0.3
1,44,3.00402,1,0.5,-0.3
2,44,3.0054,1,0.5,-0.3
3,44,3.00421,1,0.5,-0.3
4,44,3.00129,1,0.5,-0.3
5,44,3.00133,1,0.5,-0.3
6,44,3.00281,1,0.5,-0.3
7,44,3.00241,1,0.5,-0.3
8,44,3.00408,1,0.5,-0.3
9,44,3.00307,1,0.5,-0.3
10,44,3.00206,1,0.5,-0.3
1,45,3.66995,1,0.5,-0.3
2,45,3.66849,1,0.5,-0.3
3,45,3.66849,1,0.5,-0.3
4,45,3.66682,1,0.5,-0.3
5,45,3.66667,1,0.5,-0.3
6,45,3.66648,1,0.5,-0.3
7,45,3.66807,1,0.5,-0.3
8,45,3.66951,1,0.5,-0.3
9,45,3.66708,1,0.5,-0.3
10,45,3.66537,1,0.5,-0.3
1,46,2.33391,1,0.5,-0.3
2,46,2.33337,1,0.5,-0.3
3,46,2.33277,1,0.5,-0.3
4,46,2.33609,1,0.5,-0.3
5,46,2.3367,1,0.5,-0.3
6,46,2.33312,1,0.5,-0.3
7,46,2.33292,1,0.5,-0.3
8,46,2.33171,1,0.5,-0.3
9,46,2.33532,1,0.5,-0.3
10,46,2.33412,1,0.5,-0.3
1,47,1.93379,1,0.5,-0.3
2,47,1.93164,1,0.5,-0.3
3,47,1.93295,1,0.5,-0.3
4,47,1.93516,1,0.5,-0.3
5,47,1.93395,1,0.5,-0.3
6,47,1.93361,1,0.5,-0.3
7,47,1.93361,1,0.5,-0.3
8,47,1.93361,1,0.5,-0.3
9,47,1.93321,1,0.5,-0.3
10,47,1.93156,1,0.5,-0.3
1,48,2.76794,1,0.5,-0.3
2,48,2.77325,1,0.5,-0.3
3,48,2.77062,1,0.5,-0.3
4,48,2.77233,1,0.5,-0.3
5,48,2.77273,1,0.5,-0.3
6,48,2.7747,1,0.5,-0.3
7,48,2.77067,1,0.5,-0.3
8,48,2.77123,1,0.5,-0.3
9,48,2.77396,1,0.5,-0.3
10,48,2.77514,1,0.5,-0.3
1,49,2.8558,1,0.5,-0.3
2,49,2.85332,1,0.5,-0.3
3,49,2.85483,1,0.5,-0.3
4,49,2.85417,1,0.5,-0.3
5,49,2.85441,1,0.5,-0.3
6,49,2.85089,1,0.5,-0.3
7,49,2.85171,1,0.5,-0.3
8,49,2.85483,1,0.5,-0.3
9,49,2.85359,1,0.5,-0.3
10,49,2.85469,1,0.5,-0.3
1,50,3.86378,1,0.5,-0.3
2,50,3.86164,1,0.5,-0.3
3,50,3.86516,1,0.5,-0.3
4,50,3.86383,1,0.5,-0.3
5,50,3.86386,1,0.5,-0.3
6,50,3.86337,1,0.5,-0.3
7,50,3.86156,1,0.5,-0.3
8,50,3.86318,1,0.5,-0.3
9,50,3.86409,1,0.5,-0.3
10,50,3.86132,1,0.5,-0.3
