id,delta_S_SAEM,phi_S_SAEM,delta_AB_SAEM,alpha_11_SAEM,alpha_12_SAEM,alpha_13_SAEM,alpha_14_SAEM,alpha_15_SAEM,delta_S_mean,phi_S_mean,delta_AB_mean,alpha_11_mean,alpha_12_mean,alpha_13_mean,alpha_14_mean,alpha_15_mean,delta_S_sd,phi_S_sd,delta_AB_sd,alpha_11_sd,alpha_12_sd,alpha_13_sd,alpha_14_sd,alpha_15_sd
84,0.239285,930.41,0.0263575,0.101497,0,0,0,0,0.238178,923.442,0.026468,0.101409,0,0,0,0,0.0147974,150.85,0.00108353,0,0,0,0,0
85,0.243529,378.621,0.0417356,0.101497,0,0,0,0,0.242832,409.182,0.0420866,0.101409,0,0,0,0,0.0118805,74.1061,0.00101746,0,0,0,0,0
86,0.241512,276.9,0.0202893,0.101497,0,0,0,0,0.245978,290.605,0.0203276,0.101409,0,0,0,0,0.0145019,60.8918,0.00115215,0,0,0,0,0
87,0.240823,1486.43,0.0258611,0.101497,0,0,0,0,0.239453,1534.94,0.0261483,0.101409,0,0,0,0,0.0134731,314.907,0.00129718,0,0,0,0,0
88,0.24343,948.23,0.0147519,0.101497,0,0,0,0,0.24227,963.456,0.0147786,0.101409,0,0,0,0,0.0145737,180.661,0.00101653,0,0,0,0,0
89,0.241892,419.16,0.015505,0.101497,0,0,0,0,0.240379,434.34,0.0158043,0.101409,0,0,0,0,0.0132481,93.4623,0.000992859,0,0,0,0,0
90,0.242017,402.183,0.0262519,0.101497,0,0,0,0,0.242318,398.425,0.0262257,0.101409,0,0,0,0,0.0108545,63.7261,0.000822994,0,0,0,0,0
91,0.240944,1032.56,0.0254756,0.101497,0,0,0,0,0.244741,1029.52,0.0253281,0.101409,0,0,0,0,0.0148814,151.594,0.000809436,0,0,0,0,0
92,0.238867,444.638,0.00947772,0.101497,0,0,0,0,0.239657,434.582,0.00944833,0.101409,0,0,0,0,0.0130825,72.2193,0.000843833,0,0,0,0,0
93,0.242232,442.842,0.0153012,0.101497,0,0,0,0,0.238866,430.382,0.0153292,0.101409,0,0,0,0,0.0129497,66.3569,0.000871717,0,0,0,0,0
94,0.23722,896.87,0.0231527,0.101497,0,0,0,0,0.24054,938.213,0.0232806,0.101409,0,0,0,0,0.0118699,165.839,0.000988003,0,0,0,0,0
95,0.242247,327.036,0.024942,0.101497,0,0,0,0,0.241434,319.206,0.0248229,0.101409,0,0,0,0,0.0131891,68.3498,0.00114986,0,0,0,0,0
96,0.245109,161.385,0.0200982,0.101497,0,0,0,0,0.246846,160.719,0.0201653,0.101409,0,0,0,0,0.0179966,36.7776,0.000981722,0,0,0,0,0
97,0.239655,1038.66,0.0474244,0.101497,0,0,0,0,0.237606,1061.78,0.0476132,0.101409,0,0,0,0,0.0112111,200.367,0.000867304,0,0,0,0,0
98,0.242001,299.262,0.0390086,0.101497,0,0,0,0,0.239216,279.983,0.0386725,0.101409,0,0,0,0,0.0115374,63.9271,0.00117362,0,0,0,0,0
99,0.238435,960.202,0.0247099,0.101497,0,0,0,0,0.239838,1005.08,0.0249663,0.101409,0,0,0,0,0.0154149,196.503,0.00126018,0,0,0,0,0
100,0.241564,680.397,0.023776,0.101497,0,0,0,0,0.239868,674.666,0.0236968,0.101409,0,0,0,0,0.0169679,91.3132,0.00101404,0,0,0,0,0
