id,eta_delta_S_SAEM,eta_phi_S_SAEM,eta_delta_AB_SAEM,eta_alpha_11_SAEM,eta_alpha_12_SAEM,eta_alpha_13_SAEM,eta_alpha_14_SAEM,eta_alpha_15_SAEM,eta_delta_S_mean,eta_phi_S_mean,eta_delta_AB_mean,eta_alpha_11_mean,eta_alpha_12_mean,eta_alpha_13_mean,eta_alpha_14_mean,eta_alpha_15_mean,eta_delta_S_sd,eta_phi_S_sd,eta_delta_AB_sd,eta_alpha_11_sd,eta_alpha_12_sd,eta_alpha_13_sd,eta_alpha_14_sd,eta_alpha_15_sd
91,-0.00153281,0.564576,0.0236285,0,0,0,0,0,0.0159128,0.566924,0.0178904,0,0,0,0,0,0.0611821,0.146709,0.0320747,0,0,0,0,0
92,-0.0101114,-0.278611,-0.968937,0,0,0,0,0,-0.00470634,-0.298381,-0.971662,0,0,0,0,0,0.0546378,0.164703,0.089409,0,0,0,0,0
93,0.00400707,-0.283682,-0.487746,0,0,0,0,0,-0.00800519,-0.306249,-0.485393,0,0,0,0,0,0.0546471,0.153319,0.0575067,0,0,0,0,0
94,-0.0169655,0.423798,-0.0721834,0,0,0,0,0,-0.000750068,0.469413,-0.0667905,0,0,0,0,0,0.0492699,0.175524,0.0424402,0,0,0,0,0
95,0.00308797,-0.591144,0.00249486,0,0,0,0,0,0.00264089,-0.616153,-0.00281877,0,0,0,0,0,0.0556909,0.214196,0.0464718,0,0,0,0,0
96,0.0154835,-1.30431,-0.214101,0,0,0,0,0,0.0236702,-1.30465,-0.210738,0,0,0,0,0,0.0732564,0.223713,0.0488422,0,0,0,0,0
97,-0.00712818,0.569994,0.645738,0,0,0,0,0,-0.0128927,0.591269,0.649435,0,0,0,0,0,0.0463096,0.185649,0.0182445,0,0,0,0,0
98,0.00263034,-0.676318,0.450306,0,0,0,0,0,-0.00622939,-0.750109,0.441156,0,0,0,0,0,0.0485608,0.226785,0.0304471,0,0,0,0,0
99,-0.0118914,0.495808,-0.0066476,0,0,0,0,0,-0.00451413,0.53501,0.00274559,0,0,0,0,0,0.0641019,0.192726,0.0504585,0,0,0,0,0
100,0.000294332,0.151709,-0.045296,0,0,0,0,0,-0.00484852,0.145962,-0.0490889,0,0,0,0,0,0.071077,0.134911,0.0429061,0,0,0,0,0
